employmentid,accessemployment,employmentstatus,employmentstartdate,employmentretention,jobtrainingenrolled,jobtrainingcompleted
3203,No,,,No,No,No
3204,No,Employed Part Time,2015-07-17 00:00:00,Yes,No,No
3205,No,Employed Full Time,2015-08-01 00:00:00,Yes,No,No
3206,No,,,No,No,No
3207,Yes,,,No,No,No
3208,Yes,,,,,
3209,Yes,,,No,No,No
3210,No,,,No,No,No
3211,No,,,No,No,No
3212,No,,,No,No,No
3213,No,Employed Full Time,2015-09-01 00:00:00,No,No,No
3214,No,,,No,No,No
3215,No,Employed Full Time,2013-08-01 00:00:00,Yes,No,No
3216,No,,,No,No,No
3217,Yes,,,No,No,No
3218,No,Employed Full Time,2004-01-05 00:00:00,Yes,No,No
3219,No,,,No,No,No
3220,No,Employed Full Time,2015-09-28 00:00:00,No,No,No
3221,Yes,Employed Full Time,2015-12-01 00:00:00,No,No,No
3222,No,Employed Part Time,2015-08-02 00:00:00,No,No,No
3223,No,Employed Full Time,2015-08-17 00:00:00,No,No,No
3224,No,,,No,No,No
3225,No,,,No,No,No
3226,No,,,No,No,No
3227,No,Employed Full Time,2004-09-08 00:00:00,Yes,No,No
3228,No,Employed Full Time,2011-06-01 00:00:00,Yes,No,No
3229,No,Employed Part Time,2015-07-10 00:00:00,Yes,No,No
3230,No,Employed Part Time,2014-04-02 00:00:00,Yes,No,No
3231,No,,,No,No,No
3232,No,Employed Full Time,2014-09-26 00:00:00,Yes,No,No
3233,Yes,Employed Full Time,2015-08-22 00:00:00,No,No,No
3234,No,Employed Part Time,2015-06-01 00:00:00,Yes,No,No
3235,Yes,Employed Full Time,2015-07-14 00:00:00,Yes,No,No
3236,Yes,,,No,No,No
3237,No,Employed Full Time,2015-01-25 00:00:00,Yes,No,No
3238,Yes,,,Yes,No,No
3239,No,Employed Full Time,2011-09-15 00:00:00,Yes,No,No
3240,No,Employed Full Time,2016-02-01 00:00:00,No,No,No
3241,No,Employed Full Time,1994-01-02 00:00:00,Yes,No,No
3242,No,Employed Full Time,2015-09-22 00:00:00,No,No,No
3243,No,,,No,No,No
3244,Yes,,,No,No,No
3245,No,,,No,No,No
3246,No,Employed Full Time,2014-09-20 00:00:00,Yes,Yes,No
3247,No,Employed Part Time,2015-01-24 00:00:00,Yes,No,No
3248,No,,,No,No,No
3249,No,Employed Full Time,2015-08-21 00:00:00,No,No,No
3250,Yes,Employed Part Time,2015-04-07 00:00:00,Yes,Yes,No
3251,No,,,No,Yes,Yes
3252,Yes,,,No,No,No
3253,No,Employed Full Time,2015-08-10 00:00:00,No,No,No
3254,Yes,Employed Part Time,2015-09-30 00:00:00,No,Yes,No
3255,Yes,Employed Part Time,2015-12-15 00:00:00,No,No,No
3256,No,,,No,No,No
3257,Yes,,,No,No,No
3258,Yes,,,No,No,No
3259,No,Employed Full Time,2010-09-28 00:00:00,No,No,No
3260,Yes,,,No,No,No
3261,Yes,Employed Part Time,2015-11-16 00:00:00,No,No,No
3262,No,,,No,No,No
3263,No,Employed Full Time,2015-09-01 00:00:00,Yes,No,No
3264,Yes,,,No,No,No
3265,Yes,,,No,Yes,No
3266,Yes,Employed Full Time,2009-01-01 00:00:00,Yes,No,No
3267,Yes,,,No,No,No
3268,No,Employed Full Time,2016-02-08 00:00:00,No,No,No
3269,Yes,Employed Full Time,2015-09-19 00:00:00,No,No,No
3270,Yes,Employed Full Time,2015-07-31 00:00:00,No,No,No
3271,Yes,,,No,No,No
3272,Yes,,,No,No,No
3273,Yes,Employed Full Time,2015-10-06 00:00:00,No,No,No
3274,Yes,,,No,No,No
3275,No,Employed Part Time,2015-09-01 00:00:00,No,No,No
3276,No,,,No,No,No
3277,Yes,,,No,No,No
3278,Yes,Employed Full Time,2011-10-27 00:00:00,Yes,No,No
3279,Yes,,,No,No,No
3280,Yes,Employed Part Time,2015-10-29 00:00:00,No,No,No
3281,Yes,Employed Full Time,2015-03-01 00:00:00,Yes,No,No
3282,Yes,Employed Full Time,2014-03-01 00:00:00,Yes,No,No
3283,Yes,Employed Full Time,2015-08-24 00:00:00,No,No,No
3284,No,Employed Full Time,2015-08-03 00:00:00,No,No,No
3285,Yes,Employed Full Time,2015-11-30 00:00:00,No,No,No
3286,No,Employed Full Time,2016-02-22 00:00:00,No,No,No
3287,Yes,Employed Full Time,2015-09-28 00:00:00,No,No,No
3288,Yes,Employed Full Time,2015-06-19 00:00:00,Yes,No,No
3289,No,,,No,No,No
3290,Yes,,,No,No,No
3291,Yes,Employed Full Time,2015-04-05 00:00:00,Yes,No,No
3292,Yes,Employed Full Time,2015-11-23 00:00:00,No,No,No
3293,Yes,Employed Full Time,2014-06-06 00:00:00,Yes,No,No
3294,Yes,Employed Full Time,2015-01-27 00:00:00,Yes,No,No
3295,No,Employed Full Time,2005-01-03 00:00:00,Yes,No,No
3296,Yes,Employed Part Time,2014-01-04 00:00:00,Yes,No,No
3297,Yes,,,No,No,No
3298,Yes,Employed Full Time,2015-11-04 00:00:00,No,No,No
3299,Yes,,,No,No,No
3300,Yes,,,No,Yes,Yes
3301,Yes,,,No,No,No
3302,Yes,Employed Full Time,2007-01-05 00:00:00,Yes,No,No
3303,Yes,Employed Full Time,2016-02-08 00:00:00,No,No,No
3304,Yes,,,No,No,No
3305,Yes,,,No,No,No
3306,Yes,,,No,No,No
3307,Yes,,,No,No,No
3308,Yes,Employed Full Time,2015-09-01 00:00:00,No,No,No
3309,Yes,,,No,No,No
3310,Yes,Employed Full Time,2015-11-24 00:00:00,No,No,No
3311,Yes,Employed Full Time,2013-09-01 00:00:00,Yes,Yes,No
3312,No,Employed Full Time,2015-10-21 00:00:00,No,No,No
3313,Yes,,,No,No,No
3314,Yes,,2015-11-18 00:00:00,No,No,No
3315,Yes,Employed Full Time,2015-11-09 00:00:00,No,No,No
3316,No,,,No,No,No
3317,Yes,Employed Part Time,2015-09-01 00:00:00,Yes,No,No
3318,Yes,Employed Full Time,2015-10-18 00:00:00,No,No,No
3319,Yes,,,No,No,No
3320,Yes,,,No,No,No
3321,Yes,Employed Part Time,2015-11-01 00:00:00,No,No,No
3322,No,Employed Part Time,2015-09-02 00:00:00,No,No,No
3323,Yes,Employed Part Time,2015-12-11 00:00:00,No,No,No
3324,Yes,Employed Full Time,2015-12-14 00:00:00,No,No,No
3325,Yes,Employed Full Time,2014-09-30 00:00:00,Yes,No,No
3326,Yes,,,No,No,No
3327,Yes,Employed Full Time,2015-10-27 00:00:00,No,No,No
3328,Yes,,,No,No,No
3329,No,,,No,No,No
3330,Yes,Employed Full Time,2015-10-01 00:00:00,No,No,No
3331,Yes,Employed Full Time,2015-12-09 00:00:00,No,No,No
3332,Yes,,,No,No,No
3333,Yes,,,No,No,No
3334,No,,,No,No,No
3335,Yes,,,No,No,No
3336,Yes,,,,,
3337,No,Employed Full Time,2016-01-03 00:00:00,Yes,No,No
3338,No,Employed Full Time,2015-10-01 00:00:00,No,No,No
3339,No,,,No,No,No
3340,Yes,,,No,No,No
3341,Yes,Employed Full Time,2015-06-07 00:00:00,Yes,No,No
3342,Yes,,,No,No,No
3343,Yes,,,No,No,No
3344,Yes,Employed Full Time,2014-07-07 00:00:00,Yes,Yes,No
3345,Yes,,,No,No,No
3346,No,,,No,No,No
3347,Yes,,,No,No,No
3348,Yes,,,No,No,No
3349,No,,,No,No,No
3350,Yes,,,No,No,No
3351,No,Employed Part Time,2016-01-31 00:00:00,No,No,No
3352,Yes,Employed Full Time,2016-02-01 00:00:00,No,Yes,No
3353,Yes,Employed Full Time,2016-04-25 00:00:00,No,No,No
3354,Yes,,,No,No,No
3355,Yes,,,No,Yes,No
3356,No,,,No,No,No
3357,No,Employed Part Time,2006-01-02 00:00:00,Yes,No,No
3358,No,,,No,No,No
3359,No,,,No,No,No
3360,No,Employed Full Time,2016-03-29 00:00:00,No,Yes,No
3361,No,,,No,No,No
3362,Yes,,,No,Yes,No
3363,Yes,,,No,No,No
3364,No,Employed Part Time,2001-08-11 00:00:00,Yes,No,No
3365,Yes,Employed Full Time,2007-09-01 00:00:00,Yes,No,No
3366,No,Employed Full Time,2016-04-18 00:00:00,No,No,No
3367,Yes,Employed Full Time,2016-05-18 00:00:00,No,No,No
3368,No,Employed Full Time,2009-02-02 00:00:00,Yes,No,No
3369,Yes,Employed Full Time,2010-09-20 00:00:00,Yes,No,No
3370,No,Employed Full Time,2015-09-05 00:00:00,Yes,No,No
3371,Yes,,,No,No,No
3372,No,Employed Part Time,2015-08-03 00:00:00,Yes,No,No
3373,No,,,No,No,No
3374,No,Employed Full Time,2015-04-21 00:00:00,Yes,No,No
3375,No,,,No,No,No
3376,No,Employed Full Time,2015-08-12 00:00:00,Yes,No,No
3377,No,Employed Part Time,2015-11-01 00:00:00,Yes,No,No
3378,No,Employed Full Time,2014-03-27 00:00:00,Yes,No,No
3379,No,Employed Full Time,2003-03-01 00:00:00,Yes,No,No
3380,No,,,No,No,No
3381,No,,,No,No,No
3382,Yes,Employed Part Time,2016-05-01 00:00:00,No,No,No
3383,No,,,No,Yes,No
3384,Yes,,,No,No,No
3385,No,,,No,No,No
3386,No,Employed Full Time,2012-10-11 00:00:00,Yes,No,No
3387,No,Employed Full Time,2016-05-23 00:00:00,No,No,No
3388,No,Employed Part Time,2015-08-01 00:00:00,Yes,No,No
3389,No,,,No,No,No
3390,No,Employed Full Time,2014-06-11 00:00:00,Yes,No,No
3391,Yes,,2012-01-05 00:00:00,Yes,No,No
3392,Yes,Employed Part Time,,No,No,No
3393,No,Employed Full Time,2016-05-01 00:00:00,No,No,No
3394,Yes,,,No,No,No
3395,No,,,No,No,No
3396,No,Employed Part Time,2006-08-02 00:00:00,Yes,Yes,No
3397,Yes,Not employed,,No,No,No
3398,No,,,No,No,No
3399,No,Not employed,,No,No,No
3400,No,Employed Full Time,2007-10-01 00:00:00,Yes,No,No
3401,Yes,Employed Full Time,2011-01-09 00:00:00,Yes,No,No
3402,No,Employed Full Time,2017-06-01 00:00:00,Yes,No,No
3403,Yes,Not employed,,No,No,No
3404,Yes,,,No,No,No
3405,No,Employed Part Time,2016-12-05 00:00:00,No,No,No
3406,No,,,No,No,No
3407,No,Employed Full Time,2012-11-10 00:00:00,Yes,No,No
3408,No,Employed Part Time,2013-11-01 00:00:00,Yes,No,No
3409,No,Employed Full Time,2014-06-01 00:00:00,Yes,No,No
3410,No,,,No,Yes,No
3411,Yes,Employed Full Time,2018-03-01 00:00:00,Yes,No,No
3412,No,Employed Full Time,2016-10-15 00:00:00,No,No,No
3413,Yes,Employed Part Time,2017-02-01 00:00:00,Yes,No,No
3414,Yes,Not employed,,No,No,No
3415,Yes,Employed Full Time,2018-10-01 00:00:00,No,No,No
3416,No,Employed Full Time,2011-02-01 00:00:00,Yes,No,No
3417,No,Employed Full Time,2012-03-11 00:00:00,Yes,No,No
3418,No,Employed Full Time,2015-08-01 00:00:00,Yes,No,No
3419,No,Employed Full Time,2018-01-17 00:00:00,Yes,No,No
3420,No,,,No,No,No
3421,Yes,Employed Full Time,2018-03-01 00:00:00,Yes,No,No
3422,No,Employed Full Time,2016-09-17 00:00:00,No,No,No
3423,No,,,No,No,No
3424,No,,,No,No,No
3425,No,Employed Full Time,2004-01-12 00:00:00,Yes,No,No
3426,No,Employed Full Time,2015-10-10 00:00:00,Yes,No,No
3427,Yes,,,No,No,No
3428,No,Employed Part Time,2015-10-05 00:00:00,Yes,No,No
3429,No,Employed Full Time,2018-06-11 00:00:00,Yes,No,No
3430,No,Employed Part Time,2016-05-10 00:00:00,Yes,No,No
3431,Yes,,,No,Yes,No
3432,No,Employed Full Time,2015-03-01 00:00:00,Yes,No,No
3433,No,Employed Full Time,2017-01-01 00:00:00,Yes,No,No
3434,Yes,Employed Part Time,2017-05-01 00:00:00,Yes,No,No
3435,No,Employed Full Time,2016-10-03 00:00:00,Yes,No,No
3436,No,Employed Full Time,2016-09-12 00:00:00,Yes,No,No
3437,Yes,,,No,No,No
3438,No,Employed Full Time,2009-01-02 00:00:00,Yes,No,No
3439,Yes,Employed Part Time,2015-04-05 00:00:00,No,No,No
3440,Yes,Employed Full Time,2016-10-04 00:00:00,Yes,No,No
3441,Yes,Employed Full Time,2015-02-01 00:00:00,Yes,Yes,Yes
3442,No,Employed Full Time,2016-01-18 00:00:00,Yes,No,No
3443,No,Employed Part Time,2015-11-01 00:00:00,Yes,No,No
3444,Yes,,,No,No,No
3445,No,Not employed,,No,No,No
3446,No,,,No,No,No
3447,No,Employed Full Time,2011-02-01 00:00:00,Yes,No,No
3448,Yes,Employed Full Time,2014-01-30 00:00:00,Yes,Yes,No
3449,No,Employed Full Time,2013-10-10 00:00:00,Yes,No,No
3450,No,Employed Full Time,2005-02-25 00:00:00,Yes,No,No
3451,No,Employed Full Time,2013-09-01 00:00:00,Yes,No,No
3452,No,,,No,No,No
3453,Yes,Employed Part Time,2016-06-18 00:00:00,No,No,No
3454,Yes,Employed Full Time,2016-08-26 00:00:00,No,No,No
3455,No,Employed Full Time,2016-06-10 00:00:00,Yes,No,No
3456,No,Employed Full Time,2002-09-16 00:00:00,Yes,No,No
3457,Yes,,,No,No,No
3458,No,Not employed,,No,No,No
3459,No,,,No,No,No
3460,Yes,Employed Part Time,2016-03-14 00:00:00,Yes,Yes,No
3461,No,Employed Full Time,2015-08-22 00:00:00,Yes,No,No
3462,No,,,No,No,No
3463,No,Employed Full Time,2015-08-04 00:00:00,Yes,No,No
3464,Yes,,,No,No,No
3465,No,Employed Full Time,2016-06-01 00:00:00,No,No,No
3466,No,Employed Part Time,2016-04-01 00:00:00,Yes,No,No
3467,No,Employed Full Time,2013-06-01 00:00:00,Yes,No,No
3468,No,Employed Part Time,2016-05-15 00:00:00,No,No,No
3469,No,Employed Full Time,2016-08-29 00:00:00,Yes,No,No
3470,Yes,Not employed,,No,No,No
3471,No,Employed Part Time,2015-07-01 00:00:00,Yes,No,No
3472,No,Employed Full Time,2015-08-15 00:00:00,Yes,No,No
3473,No,Employed Part Time,2014-08-20 00:00:00,Yes,No,No
3474,No,Employed Full Time,2012-09-01 00:00:00,Yes,No,No
3475,Yes,,,No,No,No
3476,Yes,,,No,No,No
3477,No,Employed Part Time,2016-09-01 00:00:00,Yes,No,No
3478,No,,,No,No,No
3479,No,Employed Part Time,2017-08-21 00:00:00,Yes,No,No
3480,No,Employed Full Time,2016-01-01 00:00:00,Yes,No,No
3481,No,Employed Full Time,2018-01-15 00:00:00,Yes,No,No
3482,No,Employed Full Time,2017-04-03 00:00:00,Yes,No,No
3483,Yes,,,No,No,No
3484,Yes,,,No,No,No
3485,Yes,Not employed,,No,No,No
3486,Yes,Employed Full Time,2014-11-01 00:00:00,Yes,No,No
3487,Yes,Employed Full Time,2017-09-26 00:00:00,Yes,No,No
3488,No,Employed Full Time,,Yes,No,No
3489,No,Employed Full Time,2017-09-01 00:00:00,Yes,No,No
3490,Yes,,,No,No,No
3491,No,Employed Full Time,2015-08-01 00:00:00,Yes,No,No
3492,No,Not employed,,No,No,No
3493,No,Employed Full Time,2013-08-01 00:00:00,Yes,No,No
3494,No,Employed Full Time,2005-04-25 00:00:00,Yes,No,No
3495,No,Employed Part Time,2007-09-05 00:00:00,Yes,No,No
3496,No,Employed Full Time,2015-02-01 00:00:00,Yes,No,No
3497,Yes,,,No,No,No
3498,Yes,Not employed,,No,No,No
3499,No,,,No,No,No
3500,Yes,,,No,,
3501,No,Employed Full Time,2018-04-22 00:00:00,Yes,No,No
3502,No,Employed Full Time,2016-08-22 00:00:00,Yes,No,No
3503,Yes,Not employed,,No,No,No
3504,No,Employed Full Time,2016-05-11 00:00:00,Yes,No,No
3505,Yes,Employed Full Time,2017-02-28 00:00:00,Yes,No,No
3506,No,Not employed,,No,No,No
3507,No,Employed Full Time,2017-09-01 00:00:00,Yes,No,No
3508,Yes,Employed Part Time,2013-09-01 00:00:00,Yes,No,No
3509,Yes,,,Yes,,
3510,Yes,Employed Full Time,2017-12-28 00:00:00,No,No,No
3511,No,Not employed,,No,No,No
3512,Yes,,,No,No,No
3513,No,Employed Full Time,2016-09-26 00:00:00,No,No,No
3514,Yes,Not employed,,,Yes,Yes
3515,Yes,,,,,
3516,Yes,Not employed,,,,
3517,Yes,Employed Full Time,,,Yes,No
3518,,,,,,
3519,Yes,Not employed,,,,
3520,Yes,Employed Full Time,2018-05-15 00:00:00,,Yes,No
3521,Yes,Not employed,,,,
3522,,,,,,
3523,,,,,,
3524,Yes,Employed Full Time,2014-01-20 00:00:00,,Yes,Yes
3525,,Not employed,,,,
3526,,Employed Part Time,,,,
3527,,Employed Part Time,,,,
3528,Yes,,,,,
3529,Yes,,,,No,No
3530,,Employed Full Time,2017-10-02 00:00:00,,,
3531,Yes,,,,Yes,No
3532,Yes,Not employed,,,,
3533,Yes,Not employed,,,,
3534,Yes,Not employed,,,,
3535,Yes,Employed Full Time,2017-08-28 00:00:00,,Yes,
3536,Yes,Employed Full Time,2015-06-01 00:00:00,,Yes,Yes
3537,Yes,Not employed,,,,
3538,Yes,,,,,
3539,,,,,,
3540,Yes,Not employed,,,,
3541,Yes,,,,,
3542,,Employed Full Time,,,,
3543,,,,,,
3544,,Employed Full Time,,,,
3545,,,,,,
3546,Yes,Employed Part Time,2008-08-01 00:00:00,,,
3547,,Employed Part Time,,,,
3548,,Employed Part Time,,,,
3549,,,,,,
3550,Yes,Employed Full Time,,,Yes,No
3551,,Employed Full Time,,,,
3552,,Not employed,,,,
3553,Yes,Not employed,,,,
3554,,,,,,
3555,,Not employed,,,,
3556,,Employed Part Time,2018-02-19 00:00:00,,,
3557,Yes,Employed Full Time,2017-08-01 00:00:00,,,
3558,,,,,,
3559,Yes,Not employed,,,,
3560,Yes,,,,Yes,Yes
3561,,,,,,
3562,,,,,,
3563,Yes,,,,,
3564,Yes,Not employed,,,,
3565,Yes,,,,,
3566,,Employed Full Time,,,,
3567,,,,,,
3568,Yes,Not employed,,,,
3569,,,,,,
3570,Yes,Not employed,,,,
3571,,Employed Part Time,,,,
3572,,Employed Part Time,,,,
3573,,,,,,
3574,,Employed Part Time,2017-09-26 00:00:00,,,
3575,,,,,,
3576,,,,,,
3577,,,,,,
3578,,,,,,
3579,,,,,,
3580,Yes,Employed Full Time,2015-06-01 00:00:00,,Yes,Yes
3581,,,,,,
3582,,,,,,
3583,,,,,,
3584,,,,,,
3585,,Employed Full Time,,,,
3586,,,,,,
3587,,,,,,
3588,,,,,,
3589,Yes,Employed Part Time,,,Yes,Yes
3590,,,,,,
3591,,,,,,
3592,,,,,,
3593,,,,,,
3594,,,,,,
3595,,,,,,
3596,,,,,,
3597,,,,,,
3598,,,,,,
3599,Yes,Employed Full Time,2015-07-14 00:00:00,,,
3600,,,,,,
3601,,Employed Full Time,,,,
3602,,,,,,
3603,Yes,,,,Yes,No
3604,Yes,,,,Yes,Yes
3605,,Employed Full Time,,,,
3606,,,,,,
3607,,,,,,
3608,,,,,,
3609,Yes,Not employed,,,Yes,Yes
3610,,,,,,
3611,,,,,,
3612,,Employed Part Time,,,,
3613,,,,,,
3614,,,,,,
3615,Yes,Employed Part Time,2018-04-26 00:00:00,,,
3616,,Employed Full Time,,,,
3617,,,,,,
3618,,,,,,
3619,,,,,,
3620,,Employed Full Time,2018-07-09 00:00:00,,,
3621,,,,,,
3622,Yes,,,,,
3623,,,,,,
3624,,Employed Full Time,,,,
3625,,,,,,
3626,,,,,,
3627,Yes,,,,,
3628,,,,,,
3629,,Employed Part Time,,,,
3630,Yes,Not employed,,,,
3631,,,,,,
3632,,Employed Part Time,,,,
3633,Yes,Employed Full Time,2016-03-01 00:00:00,,Yes,Yes
3634,Yes,Employed Part Time,2014-09-01 00:00:00,,Yes,Yes
3635,,,,,,
3636,,Employed Part Time,,,,
3637,,,,,,
3638,,,,,,
3639,Yes,,,,,
3640,,,,,,
3641,,,,,,
4124,Yes,,,,,
3642,,Employed Full Time,,,,
3643,,Employed Full Time,,,,
3644,Yes,Not employed,,,,
3645,,,,,,
3646,,Employed Full Time,,,,
3647,,,,,,
3648,,,,,,
3649,,,,,,
3650,,,,,,
3651,,Employed Full Time,,,,
3652,,,,,,
3653,,,,,,
3654,Yes,,,,,
3655,,Employed Full Time,,,,
3656,,,,,,
3657,,Employed Part Time,,,,
3658,Yes,Employed Full Time,,,Yes,No
3659,,,,,,
3660,,,,,,
3661,,,,,,
3662,,,,,,
3663,,Employed Part Time,,,,
3664,,Employed Full Time,,,,
3665,,Employed Part Time,,,,
3666,,,,,,
3667,,,,,,
3668,,,,,,
3669,Yes,Employed Full Time,,,Yes,No
3670,,Employed Full Time,,,,
3671,,,,,,
3672,Yes,Employed Full Time,2016-06-23 00:00:00,,No,No
3673,,,,,,
3674,,,,,,
3675,,,,,,
3676,Yes,Not employed,,,,
3677,,,,,,
3678,,,,,,
3679,Yes,Employed Full Time,,,No,No
3680,Yes,,,,Yes,Yes
3681,,,,,,
3682,,Employed Part Time,,,,
3683,,,,,,
3684,Yes,Employed Part Time,,,,
3685,,Employed Full Time,,,,
3686,,,,,,
3687,,,,,,
3688,,Employed Full Time,,,,
3689,,,,,,
3690,Yes,Employed Part Time,2018-08-01 00:00:00,,,
3691,,Employed Full Time,,,,
3692,Yes,Not employed,,,,
3693,,,,,,
3694,,,,,,
3695,,,,,,
3696,,,,,,
3697,,,,,,
3698,,Employed Full Time,,,,
3699,,,,,,
3700,,Employed Part Time,,,,
3701,Yes,Not employed,,,,
3702,,,,,,
3703,,,,,,
3704,,,,,,
3705,Yes,Employed Full Time,,,,
3706,Yes,Employed Full Time,,,Yes,Yes
3707,Yes,,,,Yes,
3708,Yes,,,,Yes,No
3709,Yes,,,,,
3710,Yes,,,,Yes,No
3711,Yes,,,,Yes,Yes
3712,Yes,,,,Yes,Yes
3713,Yes,Employed Full Time,,,Yes,No
3714,,,,,,
3715,Yes,Employed Full Time,,,Yes,No
3716,,Employed Part Time,,,,
3717,Yes,,,,,No
3718,Yes,,,,,
3719,Yes,Employed Full Time,,,Yes,Yes
3720,Yes,,,,,
3721,Yes,,,,,
3722,Yes,Employed Part Time,2016-08-01 00:00:00,,,
3723,Yes,Employed Part Time,,,Yes,No
3724,Yes,,,,,
3725,Yes,Employed Part Time,,,,
3726,,,,,,
3727,Yes,Employed Full Time,1998-03-01 00:00:00,,,
3728,Yes,Employed Full Time,,,,No
3729,Yes,,,,,
3730,Yes,,,,Yes,Yes
3731,Yes,,,,Yes,No
3732,Yes,,,,,
3733,Yes,Employed Part Time,2018-07-12 00:00:00,,,
3734,Yes,,,,Yes,Yes
3735,Yes,Employed Part Time,,,Yes,Yes
3736,Yes,Employed Part Time,,,Yes,Yes
3737,Yes,Employed Full Time,,,Yes,No
3738,Yes,Employed Part Time,,,Yes,No
3739,Yes,Not employed,,,,
3740,Yes,Not employed,,,,
3741,Yes,Employed Full Time,,,Yes,No
3742,Yes,Employed Full Time,,,Yes,Yes
3743,Yes,,,,,
3744,Yes,,,,Yes,Yes
3745,Yes,,,,Yes,Yes
3746,Yes,Not employed,,,,
3747,Yes,,,,Yes,No
3748,Yes,,,,,
3749,,,,,,
3750,Yes,,,,,
3751,Yes,Employed Full Time,,,Yes,Yes
3752,Yes,,,,,
3753,Yes,Employed Full Time,,,Yes,No
3754,Yes,Employed Part Time,2013-05-01 00:00:00,,,
3755,Yes,Not employed,,,,
3756,Yes,,,,Yes,Yes
3757,,,,,,
3758,,,,,,
3759,,,,,,
3760,Yes,,,,Yes,Yes
3761,Yes,Employed Part Time,2016-08-01 00:00:00,,,
3762,Yes,,,,No,No
3763,Yes,Employed Full Time,,,Yes,Yes
3764,Yes,,,,Yes,No
3765,Yes,,,,Yes,No
3766,Yes,Not employed,,,,
3767,,,,,,
3768,Yes,Employed Full Time,,,,No
3769,Yes,Not employed,,,Yes,
3770,Yes,Employed Full Time,,,No,No
3771,Yes,,,,,
3772,Yes,Employed Part Time,2017-01-10 00:00:00,,,
3773,Yes,,,,,
3774,Yes,,,,,
3775,Yes,,,,Yes,Yes
3776,Yes,Employed Part Time,2016-01-01 00:00:00,,,
3777,Yes,,,,Yes,No
3778,Yes,,,,,
3779,Yes,Not employed,,,,
3780,Yes,Employed Part Time,,,Yes,No
3781,Yes,,,,,
3782,Yes,Employed Full Time,,,Yes,No
3783,,,,,,
3784,,,,,,
3785,,,,,,
3786,Yes,,,,,
3787,Yes,,,,Yes,No
3788,Yes,,,,,
3789,Yes,Employed Part Time,,,Yes,
3790,Yes,Employed Part Time,2017-10-01 00:00:00,,,
3791,Yes,Employed Full Time,2017-10-31 00:00:00,,,
3792,Yes,Employed Full Time,,,Yes,No
3793,Yes,Not employed,,,,
3794,Yes,Employed Full Time,1997-01-01 00:00:00,,,
3795,Yes,,,,,
3796,Yes,Employed Part Time,,,Yes,No
3797,Yes,Not employed,,,,
3798,Yes,Not employed,,,,
3799,Yes,,,,Yes,No
3800,Yes,,,,,
3801,Yes,Employed Full Time,,,Yes,No
3802,Yes,,,,Yes,Yes
3803,Yes,,,,,
3804,Yes,Employed Full Time,,,Yes,No
3805,Yes,Employed Full Time,,,Yes,No
3806,Yes,,,,Yes,
3807,Yes,,,,,
3808,,Employed Full Time,,,,
3809,Yes,,,,,
3810,Yes,Not employed,,,,
3812,Yes,Not employed,,,,
3813,Yes,Not employed,,,,
3814,,Employed Full Time,,,,
3815,Yes,Employed Part Time,,,Yes,
3816,Yes,,,,No,No
3817,Yes,,,,,
3818,Yes,Employed Full Time,,,Yes,No
3819,Yes,,,,,
3820,Yes,Employed Full Time,,,Yes,
3821,Yes,Not employed,,,,
3822,Yes,Not employed,,,Yes,Yes
3823,Yes,Employed Full Time,2016-05-16 00:00:00,,Yes,
3824,Yes,Employed Part Time,2014-05-05 00:00:00,,,
3825,Yes,Not employed,,,,
3826,Yes,Not employed,,,Yes,Yes
3827,Yes,Not employed,,,,
3828,,Employed Part Time,,,,
3829,Yes,Not employed,,,,
3830,Yes,Not employed,,,,
3831,,,,,,
3832,Yes,Not employed,,,,
3833,Yes,Not employed,,,,
3834,Yes,Not employed,,,Yes,
3835,,,,,,
3836,Yes,Not employed,,,,
3837,,,,,,
3838,,,,,,
3839,,,,,,
3840,,,,,,
3841,,,,,,
3842,,,,,,
3843,Yes,Not employed,,,,
3844,Yes,Employed Full Time,2016-05-27 00:00:00,,,
3845,,Employed Full Time,,,,
3846,,Employed Full Time,,,,
3847,,,,,,
3848,Yes,Not employed,,,,
3849,,Employed Part Time,,,,
3850,Yes,Employed Part Time,2017-01-02 00:00:00,,Yes,
3851,Yes,Not employed,,,,
3852,Yes,Not employed,,,,
3853,,Employed Full Time,,,,
3854,Yes,Not employed,,,Yes,Yes
3855,Yes,Not employed,,,,
3856,Yes,Not employed,,,,
3857,Yes,Not employed,,,,
3858,Yes,Not employed,,,,
3859,Yes,Not employed,,,,
3860,Yes,Not employed,,,,
3861,,Employed Part Time,,,,
3862,,,,,,
3863,Yes,Not employed,,,,
3864,,,,,,
3865,Yes,Not employed,,,,
3866,Yes,Not employed,,,Yes,
3867,Yes,Employed Full Time,2016-09-01 00:00:00,,,
3868,Yes,Employed Part Time,2016-09-01 00:00:00,,,
3869,,Employed Part Time,,,,
3870,,Employed Full Time,,,,
3871,Yes,,,,,
3872,Yes,Not employed,,,,
3873,Yes,Employed Part Time,2015-06-01 00:00:00,,,
3874,Yes,Not employed,,,,
3875,,Employed Full Time,,,,
3876,Yes,Employed Part Time,2011-12-03 00:00:00,,Yes,
3877,,Employed Full Time,,,,
3878,,,,,,
3879,Yes,Not employed,,,,
3880,,,,,,
3881,,,,,,
3882,,,,,,
3883,,Employed Full Time,,,,
3884,Yes,,,,,
3885,Yes,Not employed,,,,
3886,Yes,Not employed,,,,
3887,Yes,Not employed,,,,
3888,,Employed Full Time,2016-11-11 00:00:00,,,
3889,,,,,,
