empid_varchar,emp_varchar,empid_varchar,emp_emp,empid_varchar,emp_excel,recordid,clientid
8712,Employed Part Time,8712,Employed Part Time,8712,Employed Part Time,8712,1045042
8713,Not employed,8713,Not employed,8713,Not employed,8713,1045049
8714,Employed Part Time,8714,Employed Part Time,8714,Employed Part Time,8714,1045061
8715,Not employed,8715,Not employed,8715,Not employed,8715,1045062
8716,Employed Part Time,8716,Employed Part Time,8716,Employed Part Time,8716,1045063
8717,Employed Part Time,8717,Employed Part Time,8717,Employed Part Time,8717,1045064
8718,Employed Part Time,8718,Employed Part Time,8718,Employed Part Time,8718,1045065
8719,Not employed,8719,Not employed,8719,Not employed,8719,1045126
8720,Not employed,8720,Not employed,8720,Not employed,8720,1045127
8721,Not employed,8721,Not employed,8721,Not employed,8721,1045136
8722,Not employed,8722,Not employed,8722,Not employed,8722,1045149
8723,Not employed,8723,Not employed,8723,Not employed,8723,1045157
8724,Not employed,8724,Not employed,8724,Not employed,8724,1045184
8725,Employed Full Time,8725,Employed Full Time,8725,Employed Full Time,8725,1045207
8726,Employed Full Time,8726,Employed Full Time,8726,Employed Full Time,8726,1045209
8727,Employed Full Time,8727,Employed Full Time,8727,Employed Full Time,8727,1045212
8728,Employed Full Time,8728,Employed Full Time,8728,Employed Full Time,8728,1045218
8729,Employed Full Time,8729,Employed Full Time,8729,Employed Full Time,8729,1045219
8730,Not employed,8730,Not employed,8730,Not employed,8730,1045229
8731,Not employed,8731,Not employed,8731,Not employed,8731,1045232
8732,Not employed,8732,Not employed,8732,Not employed,8732,1045305
8733,Employed Full Time,8733,Employed Full Time,8733,Employed Full Time,8733,1045319
8734,Not employed,8734,Not employed,8734,Not employed,8734,1045326
8735,Not employed,8735,Not employed,8735,Not employed,8735,1045339
8736,Not employed,8736,Not employed,8736,Not employed,8736,1045340
8737,Not employed,8737,Not employed,8737,Not employed,8737,1045341
8738,Employed Full Time,8738,Employed Full Time,8738,Employed Full Time,8738,1045351
8739,Not employed,8739,Not employed,8739,Not employed,8739,1045354
8740,Not employed,8740,Not employed,8740,Not employed,8740,1045355
8741,Not employed,8741,Not employed,8741,Not employed,8741,1045357
8742,Not employed,8742,Not employed,8742,Not employed,8742,1045358
8743,Not employed,8743,Not employed,8743,Not employed,8743,1045360
8744,Not employed,8744,Not employed,8744,Not employed,8744,1045362
8745,Not employed,8745,Not employed,8745,Not employed,8745,1045363
8746,Not employed,8746,Not employed,8746,Not employed,8746,1045369
8747,Not employed,8747,Not employed,8747,Not employed,8747,1045373
8748,Not employed,8748,Not employed,8748,Not employed,8748,1045374
8749,Not employed,8749,Not employed,8749,Not employed,8749,1045387
8750,Not employed,8750,Not employed,8750,Not employed,8750,1045394
8751,Not employed,8751,Not employed,8751,Not employed,8751,1045407
8752,Not employed,8752,Not employed,8752,Not employed,8752,1045408
8753,Not employed,8753,Not employed,8753,Not employed,8753,1045413
8754,Employed Full Time,8754,Employed Full Time,8754,Employed Full Time,8754,1045414
8755,Not employed,8755,Not employed,8755,Not employed,8755,1045415
8756,Not employed,8756,Not employed,8756,Not employed,8756,1045417
8757,Not employed,8757,Not employed,8757,Not employed,8757,1045426
8758,Not employed,8758,Not employed,8758,Not employed,8758,1045431
8759,Not employed,8759,Not employed,8759,Not employed,8759,1045433
8760,Not employed,8760,Not employed,8760,Not employed,8760,1045434
8761,Not employed,8761,Not employed,8761,Not employed,8761,1045435
8762,Not employed,8762,Not employed,8762,Not employed,8762,1045436
8763,Not employed,8763,Not employed,8763,Not employed,8763,1045437
8764,Not employed,8764,Not employed,8764,Not employed,8764,1045440
8765,Not employed,8765,Not employed,8765,Not employed,8765,1045444
8766,Not employed,8766,Not employed,8766,Not employed,8766,1045445
8767,Not employed,8767,Not employed,8767,Not employed,8767,1045446
8768,Not employed,8768,Not employed,8768,Not employed,8768,1045449
8769,Employed Full Time,8769,Employed Full Time,8769,Employed Full Time,8769,1045450
8770,Not employed,8770,Not employed,8770,Not employed,8770,1045451
8771,Not employed,8771,Not employed,8771,Not employed,8771,1045452
8772,Not employed,8772,Not employed,8772,Not employed,8772,1045453
8773,Not employed,8773,Not employed,8773,Not employed,8773,1045454
8774,Not employed,8774,Not employed,8774,Not employed,8774,1045459
8775,Not employed,8775,Not employed,8775,Not employed,8775,1045460
8776,Not employed,8776,Not employed,8776,Not employed,8776,1045462
8777,Not employed,8777,Not employed,8777,Not employed,8777,1045463
8778,Not employed,8778,Not employed,8778,Not employed,8778,1045464
8779,Not employed,8779,Not employed,8779,Not employed,8779,1045466
8780,Not employed,8780,Not employed,8780,Not employed,8780,1045469
8781,Employed Full Time,8781,Employed Full Time,8781,Employed Full Time,8781,1045484
8782,Not employed,8782,Not employed,8782,Not employed,8782,1045485
8783,Not employed,8783,Not employed,8783,Not employed,8783,1045498
8784,Not employed,8784,Not employed,8784,Not employed,8784,1045503
8785,Employed Full Time,8785,Employed Full Time,8785,Employed Full Time,8785,1045505
8786,Not employed,8786,Not employed,8786,Not employed,8786,1045509
8787,Not employed,8787,Not employed,8787,Not employed,8787,1045518
8788,Not employed,8788,Not employed,8788,Not employed,8788,1045519
8789,Not employed,8789,Not employed,8789,Not employed,8789,1045520
8790,Not employed,8790,Not employed,8790,Not employed,8790,1045521
8791,Not employed,8791,Not employed,8791,Not employed,8791,1045523
8792,Not employed,8792,Not employed,8792,Not employed,8792,1045524
8793,Not employed,8793,Not employed,8793,Not employed,8793,1045525
8794,Not employed,8794,Not employed,8794,Not employed,8794,1045526
8795,Employed Full Time,8795,Employed Full Time,8795,Employed Full Time,8795,1045528
8796,Not employed,8796,Not employed,8796,Not employed,8796,1045537
8797,Not employed,8797,Not employed,8797,Not employed,8797,1045539
8798,Not employed,8798,Not employed,8798,Not employed,8798,1045540
8799,Not employed,8799,Not employed,8799,Not employed,8799,1045541
8800,Not employed,8800,Not employed,8800,Not employed,8800,1045544
8801,Not employed,8801,Not employed,8801,Not employed,8801,1045545
8802,Employed Full Time,8802,Employed Full Time,8802,Employed Full Time,8802,1045546
8803,Not employed,8803,Not employed,8803,Not employed,8803,1045547
8804,Not employed,8804,Not employed,8804,Not employed,8804,1045551
8805,Not employed,8805,Not employed,8805,Not employed,8805,1045553
8806,Not employed,8806,Not employed,8806,Not employed,8806,1045568
8807,Not employed,8807,Not employed,8807,Not employed,8807,1045569
8808,Not employed,8808,Not employed,8808,Not employed,8808,1045574
8809,Not employed,8809,Not employed,8809,Not employed,8809,1045587
8810,Not employed,8810,Not employed,8810,Not employed,8810,1045621
8811,Not employed,8811,Not employed,8811,Not employed,8811,1045644
8812,Employed Full Time,8812,Employed Full Time,8812,Employed Full Time,8812,1045876
8813,Not employed,8813,Not employed,8813,Not employed,8813,1045882
8814,Not employed,8814,Not employed,8814,Not employed,8814,1045898
8815,Not employed,8815,Not employed,8815,Not employed,8815,1045900
8816,Not employed,8816,Not employed,8816,Not employed,8816,1045942
8817,Employed Part Time,8817,Employed Part Time,8817,Employed Part Time,8817,1045964
8818,Not employed,8818,Not employed,8818,Not employed,8818,1045968
8819,Employed Full Time,8819,Employed Full Time,8819,Employed Full Time,8819,1045973
8820,Not employed,8820,Not employed,8820,Not employed,8820,1045979
8821,Employed Part Time,8821,Employed Part Time,8821,Employed Part Time,8821,1045992
8822,Not employed,8822,Not employed,8822,Not employed,8822,1046012
8823,Not employed,8823,Not employed,8823,Not employed,8823,1046017
8824,Not employed,8824,Not employed,8824,Not employed,8824,1046027
8825,Not employed,8825,Not employed,8825,Not employed,8825,1046042
8826,Employed Part Time,8826,Employed Part Time,8826,Employed Part Time,8826,1046046
8827,Not employed,8827,Not employed,8827,Not employed,8827,1046050
8828,Not employed,8828,Not employed,8828,Not employed,8828,1046051
8829,Not employed,8829,Not employed,8829,Not employed,8829,1046052
8830,Not employed,8830,Not employed,8830,Not employed,8830,1046065
8831,Not employed,8831,Not employed,8831,Not employed,8831,1046067
8832,Not employed,8832,Not employed,8832,Not employed,8832,1046086
8833,Not employed,8833,Not employed,8833,Not employed,8833,1046090
8834,Not employed,8834,Not employed,8834,Not employed,8834,1046093
8835,Not employed,8835,Not employed,8835,Not employed,8835,1046096
8836,Not employed,8836,Not employed,8836,Not employed,8836,1046097
8837,Not employed,8837,Not employed,8837,Not employed,8837,1046112
8838,Employed Full Time,8838,Employed Full Time,8838,Employed Full Time,8838,1046119
8839,Not employed,8839,Not employed,8839,Not employed,8839,1046123
8840,Employed Part Time,8840,Employed Part Time,8840,Employed Part Time,8840,1046136
8841,Not employed,8841,Not employed,8841,Not employed,8841,1046158
8842,Not employed,8842,Not employed,8842,Not employed,8842,1046189
8843,Employed Full Time,8843,Employed Full Time,8843,Employed Full Time,8843,1046202
8844,Employed Full Time,8844,Employed Full Time,8844,Employed Full Time,8844,1046204
8845,Employed Full Time,8845,Employed Full Time,8845,Employed Full Time,8845,1046210
8846,Not employed,8846,Not employed,8846,Not employed,8846,1046223
8847,Not employed,8847,Not employed,8847,Not employed,8847,1046226
8848,Not employed,8848,Not employed,8848,Not employed,8848,1046253
8849,Employed Full Time,8849,Employed Full Time,8849,Employed Full Time,8849,1046254
8850,Not employed,8850,Not employed,8850,Not employed,8850,1046272
8851,Not employed,8851,Not employed,8851,Not employed,8851,1046293
8852,Not employed,8852,Not employed,8852,Not employed,8852,1046350
8853,Not employed,8853,Not employed,8853,Not employed,8853,1046368
8854,Not employed,8854,Not employed,8854,Not employed,8854,1046376
8855,Not employed,8855,Not employed,8855,Not employed,8855,1046377
8856,Employed Full Time,8856,Employed Full Time,8856,Employed Full Time,8856,1046457
8857,Not employed,8857,Not employed,8857,Not employed,8857,1046480
8858,Not employed,8858,Not employed,8858,Not employed,8858,1046490
8859,Not employed,8859,Not employed,8859,Not employed,8859,1046498
8860,Not employed,8860,Not employed,8860,Not employed,8860,1046511
8861,Not employed,8861,Not employed,8861,Not employed,8861,1046514
8862,Not employed,8862,Not employed,8862,Not employed,8862,1046553
8863,Not employed,8863,Not employed,8863,Not employed,8863,1046577
8864,Not employed,8864,Not employed,8864,Not employed,8864,1046627
8865,Not employed,8865,Not employed,8865,Not employed,8865,1046641
8866,Employed Full Time,8866,Employed Full Time,8866,Employed Full Time,8866,1046642
8867,Not employed,8867,Not employed,8867,Not employed,8867,1046651
8868,Employed Part Time,8868,Employed Part Time,8868,Employed Part Time,8868,1046656
8869,Employed Part Time,8869,Employed Part Time,8869,Employed Part Time,8869,1046657
8870,Not employed,8870,Not employed,8870,Not employed,8870,1046676
8871,Not employed,8871,Not employed,8871,Not employed,8871,1046690
8872,Not employed,8872,Not employed,8872,Not employed,8872,1046696
8873,Not employed,8873,Not employed,8873,Not employed,8873,1046704
8874,Not employed,8874,Not employed,8874,Not employed,8874,1046724
8875,Not employed,8875,Not employed,8875,Not employed,8875,1046743
8876,Employed Part Time,8876,Employed Part Time,8876,Employed Part Time,8876,1046755
8877,Not employed,8877,Not employed,8877,Not employed,8877,1046768
8878,Not employed,8878,Not employed,8878,Not employed,8878,1046800
8879,Not employed,8879,Not employed,8879,Not employed,8879,1046822
8880,Not employed,8880,Not employed,8880,Not employed,8880,1046824
8881,Not employed,8881,Not employed,8881,Not employed,8881,1046831
8882,Employed Full Time,8882,Employed Full Time,8882,Employed Full Time,8882,1046832
8883,Not employed,8883,Not employed,8883,Not employed,8883,1046834
8884,Not employed,8884,Not employed,8884,Not employed,8884,1046835
8885,Employed Full Time,8885,Employed Full Time,8885,Employed Full Time,8885,1046837
8886,Employed Full Time,8886,Employed Full Time,8886,Employed Full Time,8886,1046845
8887,Not employed,8887,Not employed,8887,Not employed,8887,1046853
8888,Not employed,8888,Not employed,8888,Not employed,8888,1046858
8889,Employed Full Time,8889,Employed Full Time,8889,Employed Full Time,8889,1046859
8890,Employed Full Time,8890,Employed Full Time,8890,Employed Full Time,8890,1046868
8891,Not employed,8891,Not employed,8891,Not employed,8891,1046876
8892,Not employed,8892,Not employed,8892,Not employed,8892,1046887
8893,Not employed,8893,Not employed,8893,Not employed,8893,1046889
8894,Not employed,8894,Not employed,8894,Not employed,8894,1046898
8895,Not employed,8895,Not employed,8895,Not employed,8895,1046900
8896,Not employed,8896,Not employed,8896,Not employed,8896,1046903
8897,,8897,,8897,,8897,1046904
8898,Employed Full Time,8898,Employed Full Time,8898,Employed Full Time,8898,1046919
8899,,8899,,8899,,8899,1046926
8900,Not employed,8900,Not employed,8900,Not employed,8900,1046935
8901,Not employed,8901,Not employed,8901,Not employed,8901,1046946
8902,Not employed,8902,Not employed,8902,Not employed,8902,1046947
8903,Not employed,8903,Not employed,8903,Not employed,8903,1046976
8904,Not employed,8904,Not employed,8904,Not employed,8904,1046978
8905,Employed Full Time,8905,Employed Full Time,8905,Employed Full Time,8905,1046981
8906,Not employed,8906,Not employed,8906,Not employed,8906,1046982
8907,Not employed,8907,Not employed,8907,Not employed,8907,1046984
8908,Not employed,8908,Not employed,8908,Not employed,8908,1047005
8909,Not employed,8909,Not employed,8909,Not employed,8909,1047006
8910,Employed Full Time,8910,Employed Full Time,8910,Employed Full Time,8910,1047051
8911,,8911,,8911,,8911,1047078
8912,Not employed,8912,Not employed,8912,Not employed,8912,1047084
8913,Not employed,8913,Not employed,8913,Not employed,8913,1047086
8914,Not employed,8914,Not employed,8914,Not employed,8914,1047097
8915,,8915,,8915,,8915,1047101
8916,Employed Full Time,8916,Employed Full Time,8916,Employed Full Time,8916,1047144
8917,Not employed,8917,Not employed,8917,Not employed,8917,1047151
8918,Not employed,8918,Not employed,8918,Not employed,8918,1047167
8919,Not employed,8919,Not employed,8919,Not employed,8919,1047172
8920,Not employed,8920,Not employed,8920,Not employed,8920,1047182
8921,Not employed,8921,Not employed,8921,Not employed,8921,1047211
8922,,8922,,8922,,8922,1047215
8923,Not employed,8923,Not employed,8923,Not employed,8923,1047218
8924,Not employed,8924,Not employed,8924,Not employed,8924,1047220
8925,Not employed,8925,Not employed,8925,Not employed,8925,1047238
8926,Not employed,8926,Not employed,8926,Not employed,8926,1047240
8927,Not employed,8927,Not employed,8927,Not employed,8927,1047249
8928,Not employed,8928,Not employed,8928,Not employed,8928,1047250
8929,Not employed,8929,Not employed,8929,Not employed,8929,1047259
8930,Not employed,8930,Not employed,8930,Not employed,8930,1047314
8931,Not employed,8931,Not employed,8931,Not employed,8931,1047315
8932,Not employed,8932,Not employed,8932,Not employed,8932,1047333
8933,Not employed,8933,Not employed,8933,Not employed,8933,1047406
8934,,8934,,8934,,8934,1047412
8935,Employed Full Time,8935,Employed Full Time,8935,Employed Full Time,8935,1214650
8936,Employed Full Time,8936,Employed Full Time,8936,Employed Full Time,8936,1215338
8937,Employed Full Time,8937,Employed Full Time,8937,Employed Full Time,8937,1218686
8938,Employed Full Time,8938,Employed Full Time,8938,Employed Full Time,8938,1219745
8939,Employed Full Time,8939,Employed Full Time,8939,Employed Full Time,8939,1219904
8940,Employed Part Time,8940,Employed Part Time,8940,Employed Part Time,8940,1229738
8941,Not employed,8941,Not employed,8941,Not employed,8941,1240495
8942,Not employed,8942,Not employed,8942,Not employed,8942,1247556
8943,Employed Full Time,8943,Employed Full Time,8943,Employed Full Time,8943,1247996
8944,Not employed,8944,Not employed,8944,Not employed,8944,1248492
8945,Employed Full Time,8945,Employed Full Time,8945,Employed Full Time,8945,1248703
8946,Employed Full Time,8946,Employed Full Time,8946,Employed Full Time,8946,1248937
8947,Employed Full Time,8947,Employed Full Time,8947,Employed Full Time,8947,1249477
8948,Employed Part Time,8948,Employed Part Time,8948,Employed Part Time,8948,1251515
8949,Employed Full Time,8949,Employed Full Time,8949,Employed Full Time,8949,1253037
8950,Not employed,8950,Not employed,8950,Not employed,8950,1255641
8951,Employed Full Time,8951,Employed Full Time,8951,Employed Full Time,8951,1259788
8952,Employed Full Time,8952,Employed Full Time,8952,Employed Full Time,8952,1263037
8953,Employed Full Time,8953,Employed Full Time,8953,Employed Full Time,8953,1263658
8954,Employed Full Time,8954,Employed Full Time,8954,Employed Full Time,8954,1263881
8955,Not employed,8955,Not employed,8955,Not employed,8955,1264351
8956,Employed Full Time,8956,Employed Full Time,8956,Employed Full Time,8956,1264750
8957,Not employed,8957,Not employed,8957,Not employed,8957,1264751
8958,Employed Full Time,8958,Employed Full Time,8958,Employed Full Time,8958,1264752
8959,Not employed,8959,Not employed,8959,Not employed,8959,1264753
8960,Employed Full Time,8960,Employed Full Time,8960,Employed Full Time,8960,1264754
8961,Employed Full Time,8961,Employed Full Time,8961,Employed Full Time,8961,1264755
8962,Not employed,8962,Not employed,8962,Not employed,8962,1264756
8963,Not employed,8963,Not employed,8963,Not employed,8963,1264757
8964,Employed Full Time,8964,Employed Full Time,8964,Employed Full Time,8964,1264758
8965,Employed Full Time,8965,Employed Full Time,8965,Employed Full Time,8965,1264764
8966,Employed Full Time,8966,Employed Full Time,8966,Employed Full Time,8966,1264765
8967,Employed Full Time,8967,Employed Full Time,8967,Employed Full Time,8967,1264766
8968,Employed Full Time,8968,Employed Full Time,8968,Employed Full Time,8968,1264767
8969,Not employed,8969,Not employed,8969,Not employed,8969,1264869
8970,Employed Full Time,8970,Employed Full Time,8970,Employed Full Time,8970,1265083
8971,Not employed,8971,Not employed,8971,Not employed,8971,1266732
8972,Employed Part Time,8972,Employed Part Time,8972,Employed Part Time,8972,1266842
8973,Not employed,8973,Not employed,8973,Not employed,8973,1267281
8974,Employed Full Time,8974,Employed Full Time,8974,Employed Full Time,8974,1267282
8975,Employed Full Time,8975,Employed Full Time,8975,Employed Full Time,8975,1267283
8976,Not employed,8976,Not employed,8976,Not employed,8976,1267284
8977,Employed Full Time,8977,Employed Full Time,8977,Employed Full Time,8977,1267286
8978,Not employed,8978,Not employed,8978,Not employed,8978,1267289
8979,Employed Full Time,8979,Employed Full Time,8979,Employed Full Time,8979,1267291
8980,Employed Full Time,8980,Employed Full Time,8980,Employed Full Time,8980,1267292
8981,Employed Full Time,8981,Employed Full Time,8981,Employed Full Time,8981,1267293
8982,Not employed,8982,Not employed,8982,Not employed,8982,1267294
8983,Not employed,8983,Not employed,8983,Not employed,8983,1267296
8984,Employed Full Time,8984,Employed Full Time,8984,Employed Full Time,8984,1267297
8985,Employed Full Time,8985,Employed Full Time,8985,Employed Full Time,8985,1267298
8986,Employed Full Time,8986,Employed Full Time,8986,Employed Full Time,8986,1267299
8987,Not employed,8987,Not employed,8987,Not employed,8987,1267741
8988,Not employed,8988,Not employed,8988,Not employed,8988,1268101
8989,Not employed,8989,Not employed,8989,Not employed,8989,1268383
8990,Employed Part Time,8990,Employed Part Time,8990,Employed Part Time,8990,1269061
8991,Employed Full Time,8991,Employed Full Time,8991,Employed Full Time,8991,1269080
8992,Not employed,8992,Not employed,8992,Not employed,8992,1269084
8993,Employed Full Time,8993,Employed Full Time,8993,Employed Full Time,8993,1269120
8994,Employed Part Time,8994,Employed Part Time,8994,Employed Part Time,8994,1269512
8995,Employed Full Time,8995,Employed Full Time,8995,Employed Full Time,8995,1269568
8996,Not employed,8996,Not employed,8996,Not employed,8996,1269749
8997,Employed Part Time,8997,Employed Part Time,8997,Employed Part Time,8997,1269750
8998,Not employed,8998,Not employed,8998,Not employed,8998,1269771
8999,Not employed,8999,Not employed,8999,Not employed,8999,1269891
9000,Employed Full Time,9000,Employed Full Time,9000,Employed Full Time,9000,1269893
9001,Not employed,9001,Not employed,9001,Not employed,9001,1270210
9002,Not employed,9002,Not employed,9002,Not employed,9002,1270211
9003,Employed Full Time,9003,Employed Full Time,9003,Employed Full Time,9003,1270241
9004,Employed Full Time,9004,Employed Full Time,9004,Employed Full Time,9004,1270272
9005,Not employed,9005,Not employed,9005,Not employed,9005,1270342
9006,Employed Full Time,9006,Employed Full Time,9006,Employed Full Time,9006,1270343
9007,Not employed,9007,Not employed,9007,Not employed,9007,1270536
9008,Not employed,9008,Not employed,9008,Not employed,9008,1270677
9009,Not employed,9009,Not employed,9009,Not employed,9009,1270928
9010,Not employed,9010,Not employed,9010,Not employed,9010,1271386
9011,Employed Full Time,9011,Employed Full Time,9011,Employed Full Time,9011,1271422
9012,Employed Full Time,9012,Employed Full Time,9012,Employed Full Time,9012,1271876
9013,Not employed,9013,Not employed,9013,Not employed,9013,1272037
9014,Employed Part Time,9014,Employed Part Time,9014,Employed Part Time,9014,1272039
9015,Not employed,9015,Not employed,9015,Not employed,9015,1272665
9016,Employed Full Time,9016,Employed Full Time,9016,Employed Full Time,9016,1272697
9017,Employed Full Time,9017,Employed Full Time,9017,Employed Full Time,9017,1272711
9018,Employed Full Time,9018,Employed Full Time,9018,Employed Full Time,9018,1273276
9019,Employed Full Time,9019,Employed Full Time,9019,Employed Full Time,9019,1273289
9020,Employed Full Time,9020,Employed Full Time,9020,Employed Full Time,9020,1273588
9021,Employed Full Time,9021,Employed Full Time,9021,Employed Full Time,9021,1273663
9022,Not employed,9022,Not employed,9022,Not employed,9022,1273736
9023,Not employed,9023,Not employed,9023,Not employed,9023,1273807
9024,Employed Full Time,9024,Employed Full Time,9024,Employed Full Time,9024,1273889
9025,Employed Full Time,9025,Employed Full Time,9025,Employed Full Time,9025,1273890
9026,Employed Full Time,9026,Employed Full Time,9026,Employed Full Time,9026,1273891
9027,Employed Part Time,9027,Employed Part Time,9027,Employed Part Time,9027,1273892
9028,Not employed,9028,Not employed,9028,Not employed,9028,1273894
9029,Not employed,9029,Not employed,9029,Not employed,9029,1273925
9030,Employed Full Time,9030,Employed Full Time,9030,Employed Full Time,9030,1273934
9031,Employed Part Time,9031,Employed Part Time,9031,Employed Part Time,9031,1274090
9032,Employed Full Time,9032,Employed Full Time,9032,Employed Full Time,9032,1274105
9033,Not employed,9033,Not employed,9033,Not employed,9033,1274107
9034,Not employed,9034,Not employed,9034,Not employed,9034,1274108
9035,Employed Full Time,9035,Employed Full Time,9035,Employed Full Time,9035,1274109
9036,Not employed,9036,Not employed,9036,Not employed,9036,1274110
9037,Employed Full Time,9037,Employed Full Time,9037,Employed Full Time,9037,1274261
9038,Employed Full Time,9038,Employed Full Time,9038,Employed Full Time,9038,1274370
9039,Employed Full Time,9039,Employed Full Time,9039,Employed Full Time,9039,1274386
9040,Not employed,9040,Not employed,9040,Not employed,9040,1274390
9041,Employed Full Time,9041,Employed Full Time,9041,Employed Full Time,9041,1274418
9042,Not employed,9042,Not employed,9042,Not employed,9042,1274419
9043,Employed Full Time,9043,Employed Full Time,9043,Employed Full Time,9043,1274536
9044,Employed Full Time,9044,Employed Full Time,9044,Employed Full Time,9044,1274537
9045,Employed Full Time,9045,Employed Full Time,9045,Employed Full Time,9045,1274556
9046,Not employed,9046,Not employed,9046,Not employed,9046,1274594
9047,Not employed,9047,Not employed,9047,Not employed,9047,1274673
9048,Not employed,9048,Not employed,9048,Not employed,9048,1274706
9049,Employed Full Time,9049,Employed Full Time,9049,Employed Full Time,9049,1274707
9050,Not employed,9050,Not employed,9050,Not employed,9050,1274708
9051,Not employed,9051,Not employed,9051,Not employed,9051,1274740
9052,Not employed,9052,Not employed,9052,Not employed,9052,1274836
9053,Employed Part Time,9053,Employed Part Time,9053,Employed Part Time,9053,1274992
9054,Employed Part Time,9054,Employed Part Time,9054,Employed Part Time,9054,1275083
9055,Employed Full Time,9055,Employed Full Time,9055,Employed Full Time,9055,1275085
9056,Employed Full Time,9056,Employed Full Time,9056,Employed Full Time,9056,1275086
9057,Not employed,9057,Not employed,9057,Not employed,9057,1275098
9058,Employed Part Time,9058,Employed Part Time,9058,Employed Part Time,9058,1275221
9059,Not employed,9059,Not employed,9059,Not employed,9059,1275239
9060,Not employed,9060,Not employed,9060,Not employed,9060,1275343
9061,Employed Part Time,9061,Employed Part Time,9061,Employed Part Time,9061,1275832
9062,Not employed,9062,Not employed,9062,Not employed,9062,1276271
9063,Not employed,9063,Not employed,9063,Not employed,9063,1276272
9064,Employed Full Time,9064,Employed Full Time,9064,Employed Full Time,9064,1276300
9065,Employed Part Time,9065,Employed Part Time,9065,Employed Part Time,9065,1278438
9066,Employed Full Time,9066,Employed Full Time,9066,Employed Full Time,9066,1278439
9067,Not employed,9067,Not employed,9067,Not employed,9067,1278440
9068,Not employed,9068,Not employed,9068,Not employed,9068,1278441
9069,Not employed,9069,Not employed,9069,Not employed,9069,1278443
9070,Employed Part Time,9070,Employed Part Time,9070,Employed Part Time,9070,1278445
9071,,9071,,9071,,9071,1713072
9072,Employed Full Time,9072,Employed Full Time,9072,Employed Full Time,9072,1713235
9073,,9073,,9073,,9073,1713241
9074,,9074,,9074,,9074,1713407
9075,Employed Full Time,9075,Employed Full Time,9075,Employed Full Time,9075,1713558
9076,Employed Full Time,9076,Employed Full Time,9076,Employed Full Time,9076,1713629
9077,,9077,,9077,,9077,1713749
9078,,9078,,9078,,9078,1713831
9079,Employed Full Time,9079,Employed Full Time,9079,Employed Full Time,9079,1713850
9080,Employed Full Time,9080,Employed Full Time,9080,Employed Full Time,9080,1714117
9081,Employed Full Time,9081,Employed Full Time,9081,Employed Full Time,9081,1728249
9082,Employed Full Time,9082,Employed Full Time,9082,Employed Full Time,9082,1728787
9083,Employed Full Time,9083,Employed Full Time,9083,Employed Full Time,9083,1730139
9084,,9084,,9084,,9084,1738481
9085,Employed Full Time,9085,Employed Full Time,9085,Employed Full Time,9085,1738575
9086,,9086,,9086,,9086,1741810
9087,,9087,,9087,,9087,1743537
9088,,9088,,9088,,9088,1744045
9089,Employed Full Time,9089,Employed Full Time,9089,Employed Full Time,9089,1744865
9090,,9090,,9090,,9090,1745296
9091,,9091,,9091,,9091,1745899
9092,,9092,,9092,,9092,1746118
9093,,9093,,9093,,9093,1746219
9094,,9094,,9094,,9094,1746220
9095,,9095,,9095,,9095,1746251
9096,Employed Full Time,9096,Employed Full Time,9096,Employed Full Time,9096,1746458
9097,,9097,,9097,,9097,1746462
9098,,9098,,9098,,9098,1746467
9099,Employed Full Time,9099,Employed Full Time,9099,Employed Full Time,9099,1746514
9100,,9100,,9100,,9100,1746517
9101,,9101,,9101,,9101,1746533
9102,,9102,,9102,,9102,1746595
9103,,9103,,9103,,9103,1746610
9104,,9104,,9104,,9104,1746611
9105,,9105,,9105,,9105,1746642
9106,,9106,,9106,,9106,1746643
9107,,9107,,9107,,9107,1746711
9108,,9108,,9108,,9108,1746712
9109,,9109,,9109,,9109,1746926
9110,,9110,,9110,,9110,1746927
9111,,9111,,9111,,9111,1746945
9112,,9112,,9112,,9112,1746956
9113,Employed Full Time,9113,Employed Full Time,9113,Employed Full Time,9113,1747094
9114,,9114,,9114,,9114,1747095
9115,,9115,,9115,,9115,1747178
9116,,9116,,9116,,9116,1747179
9117,,9117,,9117,,9117,1747187
9118,,9118,,9118,,9118,1747223
9119,,9119,,9119,,9119,1747285
9120,,9120,,9120,,9120,1747335
9121,Employed Full Time,9121,Employed Full Time,9121,Employed Full Time,9121,1747415
9122,,9122,,9122,,9122,1747417
9123,,9123,,9123,,9123,1747506
9124,Employed Full Time,9124,Employed Full Time,9124,Employed Full Time,9124,1747553
9125,Employed Full Time,9125,Employed Full Time,9125,Employed Full Time,9125,1747698
9126,,9126,,9126,,9126,1747700
9127,,9127,,9127,,9127,1747816
9128,,9128,,9128,,9128,1747822
9129,,9129,,9129,,9129,1747824
9130,,9130,,9130,,9130,1747825
9131,Employed Full Time,9131,Employed Full Time,9131,Employed Full Time,9131,1747965
9132,Employed Full Time,9132,Employed Full Time,9132,Employed Full Time,9132,1748097
9133,Employed Full Time,9133,Employed Full Time,9133,Employed Full Time,9133,1748121
9134,,9134,,9134,,9134,1748209
9135,Employed Full Time,9135,Employed Full Time,9135,Employed Full Time,9135,1748210
9136,,9136,,9136,,9136,1748350
9137,,9137,,9137,,9137,1748374
9138,,9138,,9138,,9138,1748555
9139,Employed Full Time,9139,Employed Full Time,9139,Employed Full Time,9139,1748562
9140,,9140,,9140,,9140,1748652
