AccessEmployment,EmploymentStatus,EmploymentStartDate,EmploymentRetention,JobTrainingEnrolled,JobTrainingCompleted
No,Employed Full Time,5/1/2017,Yes,No,No
Yes,Employed Full Time,6/22/2016,Yes,Yes,Yes
Yes,Employed Full Time,11/5/2018,Yes,No,No
Yes,Employed Part Time,11/13/2018,No,No,No
No,Not employed,,No,No,No
No,Employed Full Time,4/1/2013,Yes,No,No
No,Not employed,,No,No,No
Yes,Not employed,,No,No,No
No,Employed Full Time,1/2/2010,Yes,No,No
No,Employed Part Time,1/1/2007,Yes,No,No
No,Not employed,,No,No,No
Yes,Not employed,,No,No,No
No,Not employed,,No,No,No
No,Not employed,,No,No,No
Yes,Not employed,,No,No,No
Yes,Employed Full Time,11/1/2017,Yes,No,No
No,Employed Full Time,10/1/2018,No,No,No
Yes,Not employed,,No,No,No
No,Employed Full Time,10/1/2017,Yes,No,No
No,Employed Part Time,6/13/2018,Yes,No,No
No,Employed Full Time,9/1/2018,Yes,No,No
No,Employed Full Time,11/1/2018,No,No,No
No,Employed Full Time,12/1/2018,No,No,No
No,Not employed,,No,No,No
Yes,Employed Full Time,6/1/2018,Yes,No,No
No,Employed Full Time,12/15/2007,Yes,No,No
Yes,Employed Full Time,8/1/2018,Yes,No,No
No,Employed Full Time,12/1/2018,No,No,No
Yes,Not employed,,No,No,No
Yes,Employed Full Time,9/1/2016,Yes,No,No
Yes,Employed Part Time,11/4/2018,Yes,No,No
Yes,Not employed,,,,
Yes,Employed Part Time,10/1/2018,,,
Yes,Employed Part Time,10/20/2017,,,
Yes,Not employed,,,,
Yes,Not employed,,,,
Yes,Not employed,,,,
Yes,Employed Full Time,9/8/2018,,Yes,
,Not employed,,,,
Yes,Not employed,,,,
Yes,Employed Full Time,11/12/2018,,,
Yes,Not employed,,,,
Yes,Not employed,,,,
Yes,Employed Part Time,4/2/2018,,Yes,
Yes,Not employed,,,,
Yes,Not employed,,,,
Yes,Employed Part Time,5/4/2018,,,
Yes,Not employed,,,,
Yes,Not employed,,,,
,Not employed,,,,
,Not employed,,,,
Yes,Not employed,,,,
Yes,Not employed,,,,
Yes,Employed Full Time,8/23/2018,,,
Yes,Employed Full Time,3/27/2001,,,
Yes,Not employed,,,Yes,
Yes,Employed Full Time,9/13/2018,,Yes,
Yes,Employed Part Time,8/1/2016,,,
,Not employed,,,,
Yes,Not employed,,,,
Yes,Employed Full Time,9/17/2018,,Yes,
Yes,Not employed,,,,
Yes,Not employed,,,Yes,
Yes,Not employed,,,,
,Not employed,,,,
Yes,Not employed,,,,
,Employed Part Time,10/2/2018,,,
Yes,Not employed,,,,
Yes,Employed Full Time,4/1/2014,,,
Yes,Employed Full Time,9/1/2018,,,
Yes,Not employed,,,,
Yes,Employed Part Time,9/3/2018,,,
Yes,Not employed,,,Yes,
Yes,Not employed,,,,
,Employed Part Time,9/18/2018,,,
Yes,Not employed,,,,
,Employed Full Time,12/1/2018,,,
Yes,Not employed,,,,
Yes,Employed Part Time,9/15/2018,,,
Yes,Not employed,,,,
Yes,Not employed,,,,
Yes,Not employed,,,,
Yes,Not employed,,,,
Yes,Not employed,,,,
Yes,Employed Part Time,5/12/2018,,,
Yes,Not employed,,,,
Yes,Not employed,,,Yes,Yes
,Employed Full Time,11/12/2018,,,
Yes,Not employed,,,,
Yes,Not employed,,,,
Yes,Not employed,,,,
,Not employed,,,,
Yes,Employed Part Time,9/12/2017,,,
Yes,Not employed,,,,
Yes,Employed Part Time,8/25/2018,,,
Yes,Not employed,,,Yes,Yes
Yes,Not employed,,,Yes,Yes
Yes,Not employed,,,,
,Employed Full Time,9/26/2018,,,
Yes,Employed Full Time,7/31/2018,,Yes,
,Employed Part Time,11/3/2018,,,
Yes,Employed Full Time,8/1/2015,,Yes,
,Employed Full Time,2/7/2018,,,
Yes,Not employed,,,,
Yes,Employed Part Time,8/1/2018,,Yes,
Yes,Employed Full Time,11/1/2018,Yes,No,No
Yes,Employed Part Time,6/1/2018,Yes,No,No
Yes,Not employed,,No,No,No
No,Employed Full Time,2/1/2011,Yes,No,No
No,Employed Part Time,12/6/2018,Yes,No,No
Yes,Not employed,,No,No,No
Yes,Not employed,,No,No,No
Yes,Not employed,,No,No,No
No,Employed Part Time,12/18/2018,Yes,No,No
No,Employed Part Time,6/15/2017,Yes,No,No
Yes,Not employed,,,Yes,Yes
Yes,Not employed,,,No,No
Yes,Not employed,,,No,No
Yes,Employed Part Time,11/12/2018,Yes,No,No
Yes,Not employed,,,Yes,Yes
Yes,Not employed,,,Yes,Yes
Yes,Not employed,,,No,No
Yes,Employed Part Time,11/12/2018,No,No,No
Yes,Not employed,,,No,No
Yes,Not employed,,,No,No
Yes,Employed Part Time,10/22/2018,No,No,No
Yes,Not employed,,,Yes,Yes
Yes,Not employed,,,Yes,Yes
Yes,Employed Full Time,12/3/2018,No,Yes,Yes
Yes,Employed Full Time,12/17/2018,No,Yes,Yes
Yes,Employed Full Time,12/6/2018,No,Yes,Yes
Yes,Not employed,,,Yes,Yes
Yes,Not employed,,,No,No
Yes,Not employed,,,Yes,Yes
Yes,Not employed,,,Yes,Yes
Yes,Not employed,,,Yes,Yes
Yes,Employed Full Time,12/7/2018,No,Yes,Yes
Yes,Not employed,,,Yes,Yes
Yes,Employed Full Time,12/6/2018,No,Yes,Yes
Yes,Not employed,,,No,No
Yes,Employed Part Time,12/11/2018,No,Yes,Yes
Yes,Not employed,,,Yes,Yes
Yes,Employed Part Time,5/1/2018,Yes,Yes,Yes
Yes,Not employed,,,Yes,Yes
Yes,Not employed,,,Yes,Yes
Yes,Not employed,,,No,No
Yes,Not employed,,,Yes,Yes
Yes,Not employed,,,Yes,Yes
Yes,Not employed,,,Yes,Yes
Yes,Not employed,,,Yes,No
No,Not employed,,,No,No
No,Not employed,,,No,No
Yes,Not employed,,,No,No
Yes,Employed Part Time,8/1/2015,Yes,No,No
No,Not employed,,,No,No
No,Employed Full Time,12/15/2014,Yes,No,No
No,Employed Full Time,5/22/2015,Yes,No,No
No,Employed Full Time,5/11/2015,Yes,No,No
No,Not employed,,,No,No
No,Employed Full Time,9/23/2015,No,No,No
No,Not employed,,,No,No
No,Not employed,,,No,No
No,Employed Full Time,12/15/2014,Yes,No,No
No,Employed Full Time,5/22/2015,Yes,No,No
No,Not employed,,,No,No
No,Not employed,,,No,No
No,Employed Full Time,12/15/2014,Yes,No,No
No,Employed Full Time,2/2/2015,Yes,No,No
No,Employed Full Time,9/7/2015,No,No,No
No,Employed Full Time,12/8/2014,Yes,No,No
No,Employed Full Time,12/15/2014,Yes,No,No
Yes,Not employed,,,No,No
No,Employed Full Time,7/7/2015,No,No,No
No,Employed Full Time,5/26/2015,Yes,No,No
No,Not employed,,,No,No
No,Not employed,,,No,No
No,Employed Full Time,5/4/2015,Yes,No,No
No,Employed Full Time,5/27/2015,Yes,No,No
No,Not employed,,,No,No
No,Employed Full Time,5/12/2015,Yes,No,No
No,Not employed,,,No,No
No,Employed Full Time,8/24/2015,Yes,No,No
No,Employed Full Time,4/27/2015,Yes,No,No
No,Employed Part Time,5/4/2015,Yes,No,No
No,Not employed,,,No,No
No,Employed Full Time,6/22/2015,Yes,No,No
No,Employed Part Time,5/20/2015,Yes,No,No
No,Employed Full Time,5/11/2015,Yes,No,No
No,Employed Full Time,7/20/2015,No,No,No
Yes,Not employed,,,No,No
Yes,Employed Full Time,8/18/2015,No,No,No
Yes,Employed Full Time,8/18/2015,No,Yes,Yes
No,Employed Part Time,9/14/2015,No,Yes,Yes
Yes,Not employed,,,No,No
Yes,Not employed,,,Yes,No
Yes,Not employed,,,Yes,No
No,Not employed,,,Yes,No
Yes,Not employed,,,Yes,No
No,Not employed,,,Yes,No
Yes,Not employed,,,Yes,No
Yes,Not employed,,,Yes,No
Yes,Not employed,,,Yes,No
Yes,Not employed,,,Yes,No
Yes,Not employed,,,Yes,No
Yes,Not employed,,,Yes,No
Yes,Not employed,,,Yes,No
Yes,Not employed,,,,
Yes,Employed Full Time,4/17/2015,Yes,Yes,Yes
Yes,Employed Full Time,5/14/2015,Yes,,
Yes,Employed Full Time,12/4/2014,Yes,,
Yes,Not employed,,,Yes,
Yes,Employed Full Time,8/19/2015,Yes,Yes,Yes
Yes,Not employed,,,,
Yes,Not employed,,,,
Yes,Not employed,,,Yes,Yes
Yes,Employed Full Time,7/26/2015,Yes,,
Yes,Not employed,,,,
Yes,Employed Full Time,10/1/2015,Yes,,
Yes,Not employed,,,,
Yes,Employed Full Time,7/6/2015,Yes,,
Yes,Not employed,,,,
Yes,Employed Full Time,2/9/2015,Yes,Yes,Yes
Yes,Employed Full Time,4/27/2015,Yes,,
Yes,Not employed,,,,
Yes,Employed Full Time,7/6/2015,Yes,,
Yes,Not employed,,,,
Yes,Employed Full Time,5/14/2015,Yes,,
Yes,Employed Full Time,4/20/2015,Yes,,
Yes,Employed Full Time,7/29/2015,Yes,Yes,Yes
Yes,Employed Full Time,6/1/2015,Yes,,
Yes,Employed Full Time,4/20/2015,Yes,,
Yes,Employed Full Time,2/5/2015,Yes,,
Yes,Employed Full Time,5/28/2015,Yes,,
Yes,Not employed,,,,
Yes,Not employed,,,,
Yes,Not employed,,,,
Yes,Employed Full Time,4/1/2015,Yes,Yes,Yes
Yes,Employed Full Time,7/20/2015,Yes,,
Yes,Employed Full Time,2/28/2015,Yes,,
Yes,,,,Yes,
Yes,,,,Yes,
Yes,,,,Yes,
Yes,,,,Yes,Yes
Yes,Employed Part Time,9/22/2015,,Yes,Yes
Yes,Employed Part Time,8/1/2015,,Yes,Yes
Yes,,,,Yes,
Yes,,,,Yes,Yes
Yes,Employed Part Time,7/27/2015,,,
Yes,,,,Yes,Yes
Yes,,,,Yes,
Yes,,,,Yes,
Yes,,,,Yes,
Yes,,,,Yes,
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,Employed Full Time,10/19/2015,Yes,Yes,Yes
No,,,No,No,No
No,,,No,No,No
Yes,Employed Part Time,10/26/2015,Yes,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,Employed Full Time,12/14/2015,Yes,Yes,Yes
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,Employed Full Time,9/10/2015,Yes,Yes,Yes
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,,,No,No,No
Yes,,,No,Yes,Yes
Yes,Not employed,,No,Yes,Yes
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,Employed Full Time,,No,Yes,Yes
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,,8/10/2015,Yes,Yes,Yes
Yes,Not employed,8/31/2015,No,Yes,Yes
Yes,Employed Part Time,9/8/2015,Yes,Yes,Yes
Yes,Employed Full Time,9/1/2015,Yes,Yes,Yes
Yes,Not employed,,No,Yes,Yes
Yes,Employed Full Time,8/5/2015,Yes,Yes,Yes
Yes,Not employed,9/8/2015,No,Yes,Yes
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,Employed Full Time,9/28/2015,Yes,Yes,Yes
Yes,,,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,,,No,Yes,Yes
No,,,No,No,No
No,,,No,No,No
Yes,Not employed,,No,Yes,Yes
Yes,Not employed,,No,Yes,Yes
Yes,Employed Full Time,9/8/2015,Yes,Yes,Yes
Yes,Employed Full Time,9/1/2015,Yes,Yes,Yes
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,Employed Full Time,10/26/2015,No,Yes,Yes
Yes,Employed Full Time,11/16/2015,Yes,Yes,Yes
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,,,No,Yes,Yes
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,,,No,Yes,Yes
Yes,Employed Part Time,11/15/2015,Yes,Yes,Yes
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,Employed Full Time,10/30/2015,Yes,Yes,Yes
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
No,,,No,No,No
Yes,Employed Full Time,10/1/2015,Yes,Yes,Yes
No,,,No,No,No
No,,,No,No,No
No,Not employed,,,No,No
No,Employed Full Time,6/25/2015,Yes,Yes,Yes
No,Employed Full Time,10/21/2015,No,No,No
No,Employed Part Time,8/1/2015,Yes,Yes,Yes
Yes,Not employed,,,No,No
Yes,Not employed,,,No,No
Yes,Employed Full Time,12/21/2015,No,Yes,Yes
No,Not employed,,,Yes,Yes
No,Employed Full Time,12/15/2014,Yes,No,No
No,Employed Full Time,5/22/2015,Yes,No,No
No,Employed Full Time,5/11/2015,Yes,No,No
No,Not employed,,,No,No
No,Employed Full Time,9/23/2015,Yes,No,No
No,Not employed,,,Yes,Yes
No,Employed Full Time,4/13/2015,Yes,Yes,Yes
No,Not employed,,,Yes,Yes
No,Employed Full Time,9/23/2015,Yes,Yes,Yes
No,Not employed,,,No,No
No,Not employed,,,Yes,Yes
No,Employed Full Time,2/2/2015,Yes,Yes,Yes
No,Employed Full Time,10/6/2015,Yes,No,No
No,Employed Full Time,12/8/2014,Yes,Yes,Yes
No,Employed Full Time,12/15/2014,Yes,No,No
No,Not employed,,,No,No
No,Employed Full Time,7/7/2015,Yes,Yes,Yes
No,Not employed,,,No,No
No,Not employed,,,No,No
No,Not employed,,,No,No
No,Employed Full Time,5/4/2015,Yes,No,No
No,Employed Full Time,5/27/2015,Yes,Yes,Yes
No,Not employed,,,No,No
No,Employed Full Time,5/12/2015,Yes,No,No
No,Not employed,,,No,No
Yes,Employed Full Time,8/24/2015,Yes,Yes,No
No,Employed Full Time,9/13/2015,Yes,Yes,Yes
No,Employed Full Time,5/4/2015,Yes,No,No
No,Not employed,,,Yes,Yes
No,Employed Full Time,6/22/2015,Yes,Yes,Yes
No,Employed Full Time,12/30/2015,Yes,Yes,Yes
No,Employed Full Time,5/11/2015,Yes,Yes,Yes
No,Employed Full Time,10/15/2015,No,No,No
Yes,Not employed,,,No,No
Yes,Not employed,,,No,No
No,Not employed,,,No,No
No,Employed Full Time,12/1/2015,No,No,No
No,Employed Part Time,9/14/2015,Yes,Yes,Yes
Yes,Employed Full Time,11/9/2015,No,No,No
Yes,Not employed,,,No,No
Yes,Employed Full Time,8/1/2015,Yes,Yes,Yes
Yes,Not employed,,,No,No
Yes,Not employed,,,No,No
Yes,Employed Full Time,11/9/2015,No,Yes,Yes
Yes,Not employed,,,No,No
No,Employed Full Time,11/10/2015,No,Yes,Yes
Yes,Not employed,,,No,No
Yes,Not employed,,,No,No
Yes,Not employed,,,No,No
Yes,Not employed,,,No,No
Yes,Not employed,,,Yes,No
Yes,Employed Full Time,12/3/2015,No,Yes,Yes
No,Employed Full Time,12/2/2015,No,Yes,Yes
Yes,Not employed,,,No,No
Yes,Not employed,,,No,No
No,Not employed,,,No,No
Yes,Employed Full Time,9/2/2015,Yes,No,No
Yes,Employed Full Time,6/15/2015,Yes,,
Yes,Employed Full Time,2/14/2015,Yes,,
Yes,Employed Full Time,4/17/2015,Yes,Yes,Yes
Yes,Employed Full Time,11/11/2015,Yes,Yes,
Yes,Not employed,,,Yes,
Yes,Not employed,,,,
Yes,Employed Full Time,8/19/2015,Yes,Yes,Yes
Yes,Not employed,,,,
Yes,Not employed,,,Yes,Yes
Yes,Employed Full Time,3/3/2015,Yes,,
Yes,Employed Full Time,11/15/2015,Yes,,
Yes,Not employed,,,Yes,
Yes,Employed Full Time,7/6/2015,Yes,,
Yes,Employed Full Time,4/27/2015,Yes,,
Yes,Not employed,,,,
Yes,Employed Full Time,5/14/2015,Yes,,
Yes,Employed Full Time,4/20/2015,Yes,,
Yes,Employed Full Time,7/29/2015,Yes,Yes,Yes
Yes,Employed Full Time,6/1/2015,Yes,Yes,Yes
Yes,Not employed,,,,
Yes,Employed Full Time,4/20/2015,Yes,,
Yes,Employed Full Time,8/1/2015,Yes,,
Yes,Not employed,,,Yes,
Yes,Not employed,,,,
Yes,Employed Full Time,5/3/2013,Yes,Yes,
Yes,Employed Full Time,8/17/2015,Yes,,
Yes,Employed Full Time,4/1/2015,Yes,Yes,Yes
Yes,Not employed,,,Yes,Yes
Yes,Employed Full Time,8/29/2015,Yes,Yes,Yes
Yes,,,,,
Yes,,,,,
Yes,,,,,
Yes,,,,,
,,,,,
,,,,,
Yes,,,,,
,,,,,
,,,,,
,,,,,
Yes,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Employed Full Time,8/22/2012,Yes,No,No
No,Employed Part Time,12/14/2015,No,No,No
Yes,Employed Full Time,1/3/2016,No,Yes,No
No,Employed Full Time,,No,Yes,No
No,Employed Full Time,8/16/2015,Yes,No,No
Yes,Employed Full Time,8/22/2015,Yes,No,No
No,Not employed,,No,No,No
Yes,Not employed,,No,No,No
Yes,Not employed,,No,No,No
Yes,Employed Full Time,10/1/2001,Yes,No,No
No,Employed Part Time,5/13/2015,Yes,No,No
No,Employed Full Time,8/1/1988,Yes,No,No
No,Employed Part Time,1/8/2015,Yes,No,No
Yes,Employed Full Time,6/1/2016,No,No,No
Yes,Employed Part Time,6/15/2016,No,No,No
No,Not employed,,No,No,No
No,Employed Full Time,9/1/2015,Yes,No,No
No,Employed Part Time,5/2/2016,No,No,No
No,Employed Part Time,1/30/2014,Yes,No,No
No,Employed Part Time,3/1/2016,No,No,No
Yes,Employed Full Time,8/31/2015,No,Yes,Yes
No,Not employed,,No,No,No
Yes,Employed Full Time,11/15/2015,Yes,No,No
Yes,Employed Full Time,5/27/2016,No,No,No
Yes,Not employed,,Yes,No,No
No,Not employed,,No,No,No
No,Employed Part Time,7/21/2015,Yes,No,No
No,Not employed,,No,No,No
No,Employed Part Time,9/28/2014,Yes,No,No
Yes,Employed Full Time,5/5/2010,Yes,No,No
Yes,Employed Part Time,1/2/2016,Yes,No,No
No,Not employed,,No,No,No
Yes,Employed Full Time,5/1/2016,No,No,No
No,Employed Full Time,7/30/2015,Yes,No,No
No,Not employed,,No,No,No
No,Employed Part Time,9/14/2015,Yes,No,No
Yes,Not employed,,No,No,No
No,Employed Full Time,2/15/2016,No,Yes,No
No,Employed Full Time,5/23/2016,Yes,No,No
Yes,Not employed,,No,Yes,Yes
No,Not employed,,No,No,No
Yes,Not employed,,No,No,No
Yes,Employed Full Time,8/11/2014,Yes,No,No
No,Employed Full Time,5/31/2013,Yes,No,No
No,Not employed,,No,No,No
Yes,Employed Full Time,1/5/2015,Yes,No,No
Yes,Not employed,,No,No,No
Yes,Employed Part Time,6/1/2016,No,No,No
No,Employed Full Time,3/21/2016,No,No,No
Yes,Employed Full Time,4/18/2016,No,No,No
No,Employed Full Time,1/1/2016,Yes,No,No
Yes,Employed Part Time,9/4/2010,Yes,No,No
No,Employed Full Time,8/1/2015,Yes,No,No
Yes,Employed Part Time,3/22/2016,No,No,No
Yes,Employed Full Time,6/8/2016,No,No,No
No,Employed Part Time,12/1/2015,Yes,No,No
No,Employed Part Time,7/1/2015,Yes,Yes,Yes
Yes,Employed Full Time,5/12/2015,Yes,Yes,No
Yes,Employed Full Time,7/1/2016,No,No,No
No,Employed Full Time,5/1/2013,Yes,No,No
No,Employed Part Time,5/5/2015,Yes,No,No
No,Employed Full Time,7/13/2015,Yes,No,No
Yes,Employed Full Time,7/14/2015,Yes,No,No
No,Employed Part Time,12/1/2015,Yes,No,No
No,Employed Full Time,6/16/2014,Yes,No,No
Yes,Employed Full Time,3/22/2015,Yes,No,No
No,Not employed,,No,No,No
Yes,Employed Full Time,10/25/2015,Yes,Yes,Yes
Yes,Employed Full Time,4/8/2015,Yes,Yes,No
Yes,Employed Part Time,7/15/2015,Yes,No,No
Yes,Employed Full Time,3/18/2016,No,No,No
Yes,Not employed,,No,No,No
No,Employed Part Time,4/1/2015,Yes,No,No
No,Not employed,,No,No,No
Yes,Employed Part Time,8/24/2015,Yes,No,No
No,Not employed,,No,Yes,Yes
No,Not employed,,No,No,No
Yes,Employed Full Time,3/16/2015,Yes,No,No
No,Not employed,,No,No,No
Yes,Employed Part Time,6/1/2016,No,No,No
No,Employed Part Time,3/5/2014,Yes,No,No
No,Employed Full Time,9/27/2015,Yes,No,No
No,Employed Full Time,6/29/2015,Yes,No,No
No,Not employed,,No,No,No
Yes,Not employed,,No,No,No
No,Employed Full Time,8/1/2015,Yes,No,No
Yes,Employed Part Time,9/10/2014,Yes,No,No
No,Employed Part Time,4/2/2015,Yes,No,No
No,Not employed,,No,No,No
Yes,Employed Full Time,8/3/2013,Yes,No,No
No,Employed Full Time,9/14/2015,Yes,No,No
No,Employed Full Time,10/4/2015,Yes,No,No
No,Not employed,,No,No,No
Yes,Not employed,,No,No,No
Yes,Employed Full Time,8/1/2015,Yes,No,No
Yes,Employed Full Time,3/17/2016,No,No,No
Yes,Employed Full Time,10/5/2014,Yes,No,No
No,Employed Part Time,9/27/2015,Yes,No,No
No,Not employed,,No,No,No
Yes,Employed Part Time,4/2/2014,Yes,No,No
Yes,Not employed,,No,No,No
No,Employed Full Time,1/25/2015,Yes,No,No
Yes,Employed Full Time,1/13/2016,Yes,No,No
No,Employed Full Time,2/1/2016,No,No,No
No,Employed Full Time,10/12/2015,Yes,No,No
Yes,Employed Full Time,3/28/2016,No,Yes,No
No,Employed Full Time,10/19/2015,Yes,Yes,Yes
No,Not employed,,No,No,No
No,Employed Part Time,11/2/2015,Yes,No,No
No,Employed Full Time,1/21/2016,Yes,No,No
Yes,Employed Full Time,3/7/2016,No,Yes,No
No,Employed Full Time,2/8/2016,No,No,No
No,Employed Part Time,9/1/2015,Yes,No,No
Yes,Not employed,,No,No,No
No,Not employed,,No,No,No
No,Employed Part Time,10/29/2015,Yes,No,No
Yes,Employed Full Time,12/1/2015,Yes,No,No
No,Employed Full Time,8/3/2015,Yes,No,No
No,Employed Full Time,2/22/2016,No,No,No
No,Not employed,,No,No,No
No,Employed Full Time,1/3/2005,Yes,No,No
Yes,Not employed,,No,Yes,Yes
No,Employed Full Time,1/1/2016,Yes,No,No
No,Employed Part Time,4/15/2016,No,No,No
Yes,Employed Full Time,11/24/2015,Yes,No,No
No,Not employed,,No,No,No
Yes,Employed Full Time,5/31/2016,No,No,No
No,Employed Part Time,9/2/2015,Yes,No,No
No,Not employed,,No,No,No
No,Employed Full Time,1/1/2016,Yes,No,No
Yes,Not employed,,No,No,No
No,Not employed,,No,No,No
No,Employed Full Time,1/3/2016,Yes,No,No
No,Employed Full Time,10/1/2015,Yes,No,No
No,Not employed,,No,No,No
No,Not employed,,No,No,No
Yes,Employed Full Time,6/7/2015,Yes,No,No
No,Not employed,,No,No,No
No,Employed Full Time,3/16/2016,No,No,No
Yes,Employed Full Time,7/7/2014,Yes,Yes,No
No,Not employed,,No,No,No
No,Not employed,,No,No,No
Yes,Employed Full Time,6/29/2016,No,No,No
Yes,Not employed,,No,No,No
No,Not employed,,No,No,No
Yes,Not employed,,No,No,No
Yes,Employed Part Time,1/31/2016,No,No,No
No,Employed Full Time,2/1/2016,No,No,No
Yes,Employed Full Time,4/25/2016,No,No,No
Yes,Employed Full Time,5/16/2016,No,No,No
Yes,Employed Full Time,6/6/2016,No,Yes,Yes
No,Not employed,,No,No,No
No,Employed Part Time,1/2/2006,Yes,No,No
Yes,Not employed,,No,No,No
Yes,Employed Part Time,5/23/2016,No,No,No
No,Employed Full Time,4/1/2016,No,No,No
Yes,Employed Full Time,5/18/2016,No,No,No
Yes,Employed Full Time,5/23/2016,No,No,No
No,Not employed,,No,No,No
Yes,Not employed,,No,No,No
No,Employed Part Time,8/15/2015,Yes,Yes,Yes
Yes,,,,Yes,Yes
Yes,,,,Yes,Yes
Yes,,,,Yes,
Yes,,,,Yes,
Yes,,,,Yes,Yes
Yes,Employed Full Time,9/22/2015,Yes,Yes,Yes
Yes,,,,Yes,
Yes,,,,Yes,
Yes,,,,Yes,Yes
Yes,,,,Yes,
Yes,,,,Yes,Yes
Yes,,,,Yes,Yes
Yes,,,,Yes,Yes
Yes,Employed Full Time,11/25/2015,,Yes,Yes
Yes,,,,Yes,
Yes,,,,Yes,Yes
Yes,,,,,
Yes,,,,Yes,
Yes,,,,Yes,
Yes,Employed Full Time,11/2/2015,,Yes,Yes
Yes,,,,Yes,
Yes,,,,Yes,
Yes,,,,Yes,Yes
Yes,,,,Yes,
Yes,,,,Yes,
Yes,,,,Yes,
Yes,Employed Full Time,1/2/2004,Yes,No,No
Yes,Not employed,,No,No,No
No,Employed Full Time,8/22/2012,Yes,No,No
Yes,Employed Part Time,11/16/2015,No,No,No
No,Not employed,,No,No,No
No,Employed Part Time,9/25/2015,Yes,No,No
Yes,Employed Part Time,9/9/2011,Yes,Yes,No
No,Not employed,,No,No,No
Yes,Employed Full Time,8/1/2015,Yes,Yes,No
Yes,Not employed,,No,No,No
Yes,Not employed,,No,No,No
Yes,Not employed,,No,No,No
Yes,Employed Full Time,8/16/2015,Yes,No,No
No,Not employed,,No,No,No
Yes,Employed Full Time,7/5/2014,Yes,No,No
Yes,Employed Full Time,12/28/2015,No,Yes,Yes
Yes,Employed Part Time,8/1/2015,Yes,No,No
Yes,Employed Part Time,7/15/2015,Yes,No,No
No,Not employed,,No,No,No
Yes,Not employed,,No,No,No
Yes,Not employed,,No,No,No
No,Not employed,,No,No,No
No,Not employed,,No,No,No
No,Not employed,,No,No,No
Yes,Employed Full Time,9/12/2015,Yes,No,No
No,Employed Full Time,12/1/2015,No,No,No
Yes,Not employed,,No,No,No
Yes,Employed Full Time,6/7/2015,Yes,No,No
Yes,Not employed,,No,No,No
No,Not employed,,No,No,No
No,Employed Part Time,1/2/2016,No,No,No
Yes,Employed Part Time,6/16/2015,Yes,No,No
Yes,Employed Full Time,7/6/2015,Yes,No,No
Yes,Not employed,,No,No,No
Yes,Employed Full Time,7/15/2012,Yes,No,No
Yes,Not employed,,No,No,No
Yes,Not employed,,No,No,No
No,Not employed,,No,No,No
No,Not employed,,No,No,No
Yes,Not employed,,No,No,No
Yes,Not employed,,No,No,No
Yes,Employed Full Time,1/5/2008,Yes,No,No
No,Not employed,,No,No,No
No,Employed Part Time,5/13/2015,Yes,No,No
No,Not employed,,,No,No
No,Employed Full Time,12/15/2015,Yes,No,No
No,Employed Full Time,6/25/2015,Yes,No,No
No,Employed Full Time,10/21/2015,Yes,No,No
No,Not employed,,,No,No
Yes,Employed Part Time,8/1/2015,Yes,Yes,No
Yes,Not employed,,,No,No
No,Not employed,,,No,No
Yes,Not employed,,,No,No
Yes,Not employed,,,Yes,Yes
No,Employed Full Time,12/21/2015,Yes,Yes,Yes
No,Not employed,,,No,No
Yes,Not employed,,,Yes,No
No,Employed Full Time,1/15/2016,No,Yes,No
No,Employed Full Time,12/15/2014,Yes,No,No
No,Employed Full Time,5/22/2015,Yes,No,No
No,Employed Full Time,5/11/2015,Yes,No,No
No,Not employed,,,No,No
No,Employed Full Time,9/23/2015,Yes,No,No
No,Not employed,,,No,No
No,Employed Full Time,4/13/2015,Yes,No,No
No,Not employed,,,No,No
No,Employed Full Time,12/15/2014,Yes,No,No
No,Employed Full Time,9/23/2015,Yes,No,No
No,Not employed,,,No,No
